type,name,parent_directory,size_bytes
file,9269798a7f27e3aef85a680a84cc89e5a9a4d5,.\.git\objects\ba,2266
file,cf816cb893dc6384600a530e04d94f71427fd4,.\.git\objects\bb,526
file,6f684f47a57d76a35c70dbbe40faf0d5ee6fb4,.\.git\objects\bc,1082
file,48f09a69cc6253c6fb530d0c71df621e2aad2c,.\.git\objects\bd,228
file,beec95dee4e5458b0644e308d783e09238d410,.\.git\objects\be,974
file,c90745e61b322b0f10308f4b87ac37cd6931d1,.\.git\objects\be,2326
file,79d72eb3671a35ed774943e20778100baeb192,.\.git\objects\bf,437
file,de777d91bb9e0e98bf473ceaaa788cd3d545ba,.\.git\objects\bf,332
file,f5ac138c2a0aeaadaaf80af21a437849b39018,.\.git\objects\bf,115
file,dbb93bc295639dc1ad226d63ba09d1d1ce620e,.\.git\objects\c0,1376
file,11c1b9ec379291f1f8b4a869b9858cf01ec028,.\.git\objects\c2,201
file,659351b59cc05bc10828e6d07a151128022c1a,.\.git\objects\c3,2096
file,aee1b5213fe04c43650c20d7c5d36df2d9ef4e,.\.git\objects\c4,2364
file,dd60d6a9762e0a620a75947b588979a80ff87f,.\.git\objects\c5,280
file,17f5758b05e98dadebc9e1f0a788b28f26bd70,.\.git\objects\c6,631
file,61f6c123961e1ce2fa90f53a82a83dde065ff2,.\.git\objects\c6,2532
file,02f705b828f2bc37feb37fad9477212129a84a,.\.git\objects\c7,1256
file,52656efbb85fa18b65412f2627b930fc9d5d4b,.\.git\objects\c7,520
file,3986e42b7b40119fd030507941411e3bbd8dc9,.\.git\objects\ca,2408
file,d69e235acc5668e0c17a11d389675d990a4f75,.\.git\objects\cb,1417
file,89f4fe5a2e4657474b7dbbbe7894061e6c593f,.\.git\objects\ce,2407
file,8ac5ec6e23e7ddbd41826ddc889040ab18f103,.\.git\objects\ce,753
file,0f72132d5bc40446dc3b6e6ce85a68dfcaecc9,.\.git\objects\cf,1124
file,2f53c6768e3f2ff666a4ea4c9a19c26314dd4a,.\.git\objects\cf,1484
file,713688f1136c5c54a48dfc2d0ece8b3d9de54a,.\.git\objects\cf,970
file,776271e432640b7edbfc648800a5dce1107052,.\.git\objects\cf,3566
file,c2757554b02d09e45c56bdc27629e8755ea550,.\.git\objects\d1,1422
file,88ca3ec0d6518ea053c27c7cef3f00e6a99b7d,.\.git\objects\d2,261
file,aa2bc6a7d49db04a50e1c7a38ae4d28f45c6b7,.\.git\objects\d2,716
file,eb09457726c318f7a3893a7c89fe29bd46b308,.\.git\objects\d2,178
file,4fb0ecbd41040df6663cfb88aa3ed15d300012,.\.git\objects\d4,2535
file,b00f5ddb61c63685b9b031f58b76ade22a7c94,.\.git\objects\d4,160
file,f0ab11e45e3c7a8f01ee2750a55ac5df44abff,.\.git\objects\d4,1960
file,8b61271974b0a61363bd71137a4eee1da3afcd,.\.git\objects\d6,511
file,b297617852a151b853c3ef1f0e34ec7d3ed6b2,.\.git\objects\d6,353
file,f4441baea8e23754afd244e5fd1cc08046813f,.\.git\objects\d7,177
file,3e2546949eeea538b8bbce480bfd004aeae276,.\.git\objects\d8,165
file,057ba9ec75000d68bace681297e12a7bc5410b,.\.git\objects\da,1755
file,408b417769565c2bcd784a3dc82ad6ad4df87d,.\.git\objects\da,718
